Event,Time,Cell,Notes
Duplicate,24.049363049603066,e764a1a0-f9b0-11ed-0d20-39f34b2f7a5d,"Base.UUID[UUID(""e7649e1e-f9b0-11ed-1782-2dd2480c94b9"")]"
Duplicate,24.426361614675965,e764a2e0-f9b0-11ed-3840-dbb8dd0e6474,"Base.UUID[UUID(""e764a1a0-f9b0-11ed-0d20-39f34b2f7a5d"")]"
Duplicate,24.426361614675965,e764a2e0-f9b0-11ed-39b2-eb865d4c4774,"Base.UUID[UUID(""e764a1a0-f9b0-11ed-0d20-39f34b2f7a5d"")]"
Duplicate,24.532340919100378,e764a402-f9b0-11ed-296d-030000c1a769,"Base.UUID[UUID(""e764a09c-f9b0-11ed-1d50-99f7556af89b"")]"
Duplicate,24.532340919100378,e764a402-f9b0-11ed-22d2-ef3b00075805,"Base.UUID[UUID(""e764a09c-f9b0-11ed-1d50-99f7556af89b"")]"
Duplicate,25.606254089075378,e764a664-f9b0-11ed-2303-93829d9f7fdb,"Base.UUID[UUID(""e764a09c-f9b0-11ed-0047-61d0287c4b9c"")]"
Duplicate,25.606254089075378,e764a664-f9b0-11ed-1b95-4570d1239902,"Base.UUID[UUID(""e764a09c-f9b0-11ed-0047-61d0287c4b9c"")]"
Duplicate,25.835846420349302,e764a75e-f9b0-11ed-3fc5-cb31bd14fe67,"Base.UUID[UUID(""e764a402-f9b0-11ed-22d2-ef3b00075805"")]"
Duplicate,25.835846420349302,e764a75e-f9b0-11ed-230d-9de410903359,"Base.UUID[UUID(""e764a402-f9b0-11ed-22d2-ef3b00075805"")]"
Death,25.962221667203043,e7649f48-f9b0-11ed-0c6e-898855b628d6,UndefInitializer()
Duplicate,26.216630322859434,e764a934-f9b0-11ed-1eda-eb8fc2ee71bb,"Base.UUID[UUID(""e764a1a0-f9b0-11ed-02fb-7531faaf1bce"")]"
Duplicate,26.216630322859434,e764a934-f9b0-11ed-37b8-09046c44d87f,"Base.UUID[UUID(""e764a1a0-f9b0-11ed-02fb-7531faaf1bce"")]"
Duplicate,26.587415725515463,e764aa9c-f9b0-11ed-1421-77b6a7d6199f,"Base.UUID[UUID(""e764a934-f9b0-11ed-1eda-eb8fc2ee71bb"")]"
Duplicate,26.587415725515463,e764aa9c-f9b0-11ed-2a65-1f5e1ff9d228,"Base.UUID[UUID(""e764a934-f9b0-11ed-1eda-eb8fc2ee71bb"")]"
Duplicate,27.67477077763201,e764ac5c-f9b0-11ed-3433-c7581578f966,"Base.UUID[UUID(""e764a75e-f9b0-11ed-230d-9de410903359"")]"
Duplicate,27.67477077763201,e764ac5c-f9b0-11ed-0261-c733e95d448b,"Base.UUID[UUID(""e764a75e-f9b0-11ed-230d-9de410903359"")]"
Duplicate,28.226407955733276,e764ae02-f9b0-11ed-0792-11f3220e7884,"Base.UUID[UUID(""e764987e-f9b0-11ed-3a1a-1dc818646f47"")]"
Duplicate,28.226407955733276,e764ae02-f9b0-11ed-1194-63931a1af155,"Base.UUID[UUID(""e764987e-f9b0-11ed-3a1a-1dc818646f47"")]"
Duplicate,28.688768831367806,e764af5e-f9b0-11ed-105c-579ea5ff0eaf,"Base.UUID[UUID(""e764987e-f9b0-11ed-2887-0bb0edd119ca"")]"
Duplicate,28.688768831367806,e764af5e-f9b0-11ed-3cbf-e75947eef008,"Base.UUID[UUID(""e764987e-f9b0-11ed-2887-0bb0edd119ca"")]"
Duplicate,28.92654671609648,e764b05a-f9b0-11ed-28d9-43066742c079,"Base.UUID[UUID(""e764ae02-f9b0-11ed-1194-63931a1af155"")]"
Duplicate,28.92654671609648,e764b05a-f9b0-11ed-1094-3173c43f27bf,"Base.UUID[UUID(""e764ae02-f9b0-11ed-1194-63931a1af155"")]"
Duplicate,29.02910943736487,e764b172-f9b0-11ed-1c34-23bef6fafeba,"Base.UUID[UUID(""e764b05a-f9b0-11ed-28d9-43066742c079"")]"
Duplicate,29.02910943736487,e764b172-f9b0-11ed-0ae4-0569fe144261,"Base.UUID[UUID(""e764b05a-f9b0-11ed-28d9-43066742c079"")]"
Duplicate,29.35583351713557,e764b2da-f9b0-11ed-11d6-25c543d5ae81,"Base.UUID[UUID(""e764a2e0-f9b0-11ed-3840-dbb8dd0e6474"")]"
Duplicate,29.35583351713557,e764b2da-f9b0-11ed-0961-13c5df4a9c49,"Base.UUID[UUID(""e764a2e0-f9b0-11ed-3840-dbb8dd0e6474"")]"
Duplicate,29.5973153719297,e764b3fc-f9b0-11ed-2d1a-2d0bce3e06f6,"Base.UUID[UUID(""e764b172-f9b0-11ed-0ae4-0569fe144261"")]"
Duplicate,29.5973153719297,e764b3fc-f9b0-11ed-3186-837851fa5740,"Base.UUID[UUID(""e764b172-f9b0-11ed-0ae4-0569fe144261"")]"
Death,29.65558181461127,e7648eea-f9b0-11ed-38e9-530db73559ea,UndefInitializer()
Duplicate,30.747850321186995,e764b634-f9b0-11ed-17d5-736721583cdd,"Base.UUID[UUID(""e764ac5c-f9b0-11ed-0261-c733e95d448b"")]"
Duplicate,30.747850321186995,e764b634-f9b0-11ed-38c7-7157d8d17afb,"Base.UUID[UUID(""e764ac5c-f9b0-11ed-0261-c733e95d448b"")]"
Duplicate,31.2867619135026,e764b776-f9b0-11ed-0ebe-3fb9c868ca57,"Base.UUID[UUID(""e764a664-f9b0-11ed-2303-93829d9f7fdb"")]"
Duplicate,31.2867619135026,e764b776-f9b0-11ed-3857-ab0aa86649fc,"Base.UUID[UUID(""e764a664-f9b0-11ed-2303-93829d9f7fdb"")]"
Duplicate,31.440074411512118,e764b8a0-f9b0-11ed-2b33-4bb5adeeafff,"Base.UUID[UUID(""e764aa9c-f9b0-11ed-1421-77b6a7d6199f"")]"
Duplicate,31.440074411512118,e764b8a0-f9b0-11ed-261c-d7b2de3212d5,"Base.UUID[UUID(""e764aa9c-f9b0-11ed-1421-77b6a7d6199f"")]"
Duplicate,32.43307345925335,e764ba08-f9b0-11ed-16bd-a5458f0b8397,"Base.UUID[UUID(""e764b172-f9b0-11ed-1c34-23bef6fafeba"")]"
Duplicate,32.43307345925335,e764ba08-f9b0-11ed-170a-b16f2d53d880,"Base.UUID[UUID(""e764b172-f9b0-11ed-1c34-23bef6fafeba"")]"
Duplicate,32.59986033412475,e764bb3e-f9b0-11ed-364e-4539b63c9691,"Base.UUID[UUID(""e764af5e-f9b0-11ed-3cbf-e75947eef008"")]"
Duplicate,32.59986033412475,e764bb4a-f9b0-11ed-114e-8fd9c447ef6a,"Base.UUID[UUID(""e764af5e-f9b0-11ed-3cbf-e75947eef008"")]"
Death,32.9192345021097,e764b2da-f9b0-11ed-0961-13c5df4a9c49,UndefInitializer()
Duplicate,33.17187416716605,e764bdf2-f9b0-11ed-167a-85bd3223985a,"Base.UUID[UUID(""e7648616-f9b0-11ed-0421-a9d6e8034fd1"")]"
Duplicate,33.17187416716605,e764bdf2-f9b0-11ed-1952-475d39830be6,"Base.UUID[UUID(""e7648616-f9b0-11ed-0421-a9d6e8034fd1"")]"
Duplicate,33.52644747396035,e764bf8c-f9b0-11ed-05d7-eb8ca8ddb63b,"Base.UUID[UUID(""e764a934-f9b0-11ed-37b8-09046c44d87f"")]"
Duplicate,33.52644747396035,e764bf8c-f9b0-11ed-3ced-fbcd6e3d1128,"Base.UUID[UUID(""e764a934-f9b0-11ed-37b8-09046c44d87f"")]"
Duplicate,33.70591358097363,e764c0ac-f9b0-11ed-20fb-1503a23cc3af,"Base.UUID[UUID(""e764b2da-f9b0-11ed-11d6-25c543d5ae81"")]"
Duplicate,33.70591358097363,e764c0ac-f9b0-11ed-0fa4-9b615c3a322c,"Base.UUID[UUID(""e764b2da-f9b0-11ed-11d6-25c543d5ae81"")]"
Duplicate,35.1598182647474,e764c2ac-f9b0-11ed-2072-dd234894ca3a,"Base.UUID[UUID(""e764b3fc-f9b0-11ed-2d1a-2d0bce3e06f6"")]"
Duplicate,35.1598182647474,e764c2ac-f9b0-11ed-0bae-0518ab9ea7f4,"Base.UUID[UUID(""e764b3fc-f9b0-11ed-2d1a-2d0bce3e06f6"")]"
Migration,36.01019626648687,e7649e1e-f9b0-11ed-3d71-d36320d619c4,UndefInitializer()
Duplicate,36.200113299648066,e764c5d6-f9b0-11ed-19e1-5562b492e85c,"Base.UUID[UUID(""e764c2ac-f9b0-11ed-0bae-0518ab9ea7f4"")]"
Duplicate,36.200113299648066,e764c5d6-f9b0-11ed-24ab-9518df960e16,"Base.UUID[UUID(""e764c2ac-f9b0-11ed-0bae-0518ab9ea7f4"")]"
Duplicate,36.369023269130935,e764c716-f9b0-11ed-394c-c32babcd8184,"Base.UUID[UUID(""e764b8a0-f9b0-11ed-261c-d7b2de3212d5"")]"
